	language	country	zipcode
60	und	United States	[SimpleZipcode(zipcode='63131', zipcode_type='Standard', major_city='Saint Louis', post_office_city='Saint Louis, MO', common_city_list=['Saint Louis', 'Des Peres', 'Frontenac'], county='St. Louis County', state='MO', lat=38.61, lng=-90.45, timezone='Central', radius_in_miles=3.0, area_code_list=['314'], population=16769, population_density=1205.0, land_area_in_sqmi=13.92, water_area_in_sqmi=0.0, housing_units=6416, occupied_housing_units=6097, median_home_value=491000, median_household_income=132500, bounds_west=-90.490632, bounds_east=-90.400795, bounds_north=38.652068, bounds_south=38.579888)]
61	en	United States	[]
62	und	United States	[]
63	und	United States	[SimpleZipcode(zipcode='63131', zipcode_type='Standard', major_city='Saint Louis', post_office_city='Saint Louis, MO', common_city_list=['Saint Louis', 'Des Peres', 'Frontenac'], county='St. Louis County', state='MO', lat=38.61, lng=-90.45, timezone='Central', radius_in_miles=3.0, area_code_list=['314'], population=16769, population_density=1205.0, land_area_in_sqmi=13.92, water_area_in_sqmi=0.0, housing_units=6416, occupied_housing_units=6097, median_home_value=491000, median_household_income=132500, bounds_west=-90.490632, bounds_east=-90.400795, bounds_north=38.652068, bounds_south=38.579888)]
64	und	United States	[SimpleZipcode(zipcode='63131', zipcode_type='Standard', major_city='Saint Louis', post_office_city='Saint Louis, MO', common_city_list=['Saint Louis', 'Des Peres', 'Frontenac'], county='St. Louis County', state='MO', lat=38.61, lng=-90.45, timezone='Central', radius_in_miles=3.0, area_code_list=['314'], population=16769, population_density=1205.0, land_area_in_sqmi=13.92, water_area_in_sqmi=0.0, housing_units=6416, occupied_housing_units=6097, median_home_value=491000, median_household_income=132500, bounds_west=-90.490632, bounds_east=-90.400795, bounds_north=38.652068, bounds_south=38.579888)]
65	und	United States	[SimpleZipcode(zipcode='63131', zipcode_type='Standard', major_city='Saint Louis', post_office_city='Saint Louis, MO', common_city_list=['Saint Louis', 'Des Peres', 'Frontenac'], county='St. Louis County', state='MO', lat=38.61, lng=-90.45, timezone='Central', radius_in_miles=3.0, area_code_list=['314'], population=16769, population_density=1205.0, land_area_in_sqmi=13.92, water_area_in_sqmi=0.0, housing_units=6416, occupied_housing_units=6097, median_home_value=491000, median_household_income=132500, bounds_west=-90.490632, bounds_east=-90.400795, bounds_north=38.652068, bounds_south=38.579888)]
66	und	Россия	[]
67	und	United States	[SimpleZipcode(zipcode='63131', zipcode_type='Standard', major_city='Saint Louis', post_office_city='Saint Louis, MO', common_city_list=['Saint Louis', 'Des Peres', 'Frontenac'], county='St. Louis County', state='MO', lat=38.61, lng=-90.45, timezone='Central', radius_in_miles=3.0, area_code_list=['314'], population=16769, population_density=1205.0, land_area_in_sqmi=13.92, water_area_in_sqmi=0.0, housing_units=6416, occupied_housing_units=6097, median_home_value=491000, median_household_income=132500, bounds_west=-90.490632, bounds_east=-90.400795, bounds_north=38.652068, bounds_south=38.579888)]
68	und	United States	[SimpleZipcode(zipcode='78577', zipcode_type='Standard', major_city='Pharr', post_office_city='Pharr, TX', common_city_list=['Pharr'], county='Hidalgo County', state='TX', lat=26.2, lng=-98.2, timezone='Central', radius_in_miles=8.0, area_code_list=['956'], population=70840, population_density=2231.0, land_area_in_sqmi=31.75, water_area_in_sqmi=0.11, housing_units=22936, occupied_housing_units=19814, median_home_value=71100, median_household_income=32054, bounds_west=-98.226825, bounds_east=-98.159155, bounds_north=26.250407, bounds_south=26.053268)]
69	und	United States	[SimpleZipcode(zipcode='63131', zipcode_type='Standard', major_city='Saint Louis', post_office_city='Saint Louis, MO', common_city_list=['Saint Louis', 'Des Peres', 'Frontenac'], county='St. Louis County', state='MO', lat=38.61, lng=-90.45, timezone='Central', radius_in_miles=3.0, area_code_list=['314'], population=16769, population_density=1205.0, land_area_in_sqmi=13.92, water_area_in_sqmi=0.0, housing_units=6416, occupied_housing_units=6097, median_home_value=491000, median_household_income=132500, bounds_west=-90.490632, bounds_east=-90.400795, bounds_north=38.652068, bounds_south=38.579888)]
70	en	United States	[]
71	und	United States	[SimpleZipcode(zipcode='63131', zipcode_type='Standard', major_city='Saint Louis', post_office_city='Saint Louis, MO', common_city_list=['Saint Louis', 'Des Peres', 'Frontenac'], county='St. Louis County', state='MO', lat=38.61, lng=-90.45, timezone='Central', radius_in_miles=3.0, area_code_list=['314'], population=16769, population_density=1205.0, land_area_in_sqmi=13.92, water_area_in_sqmi=0.0, housing_units=6416, occupied_housing_units=6097, median_home_value=491000, median_household_income=132500, bounds_west=-90.490632, bounds_east=-90.400795, bounds_north=38.652068, bounds_south=38.579888)]
72	en	Australia	[]
73	en	Vietnam	[]
74	und	United States	[SimpleZipcode(zipcode='63131', zipcode_type='Standard', major_city='Saint Louis', post_office_city='Saint Louis, MO', common_city_list=['Saint Louis', 'Des Peres', 'Frontenac'], county='St. Louis County', state='MO', lat=38.61, lng=-90.45, timezone='Central', radius_in_miles=3.0, area_code_list=['314'], population=16769, population_density=1205.0, land_area_in_sqmi=13.92, water_area_in_sqmi=0.0, housing_units=6416, occupied_housing_units=6097, median_home_value=491000, median_household_income=132500, bounds_west=-90.490632, bounds_east=-90.400795, bounds_north=38.652068, bounds_south=38.579888)]
75	en	Vietnam	[]
76	und	United States	[SimpleZipcode(zipcode='63131', zipcode_type='Standard', major_city='Saint Louis', post_office_city='Saint Louis, MO', common_city_list=['Saint Louis', 'Des Peres', 'Frontenac'], county='St. Louis County', state='MO', lat=38.61, lng=-90.45, timezone='Central', radius_in_miles=3.0, area_code_list=['314'], population=16769, population_density=1205.0, land_area_in_sqmi=13.92, water_area_in_sqmi=0.0, housing_units=6416, occupied_housing_units=6097, median_home_value=491000, median_household_income=132500, bounds_west=-90.490632, bounds_east=-90.400795, bounds_north=38.652068, bounds_south=38.579888)]
77	en	United States	[]
