	sentiment	handles
454	0.0	['@ToddDracula', '@realDonaldTrump']
455	0.743	['@stupidLiberal69', '@realDonaldTrump']
456	0.4019	['@realDonaldTrump', '@C_Lynne_Ryan']
457	-0.3182	['@vickieclayb', '@DanRather', '@realDonaldTrump']
458	-0.7003	['@MichaelCohen212', '@realDonaldTrump', '@TheFive']
459	-0.4767	['@ChrisCuomo', '@ChrisCuomo', '@RudolphGiuliani', '@realDonaldTrump', '@NewDay']
460	0.0	['@lovusa4', '@realDonaldTrump', '@NewDay', '@foxandfriends']
461	0.0	['@realDonaldTrump', '@laurencristmann', '@C_Lynne_Ryan']
462	0.0	['@realDonaldTrump', '@laurencristmann', '@C_Lynne_Ryan']
463	-0.3818	['@realDonaldTrump']
464	-0.9022	['@FoxNews', '@CNNPolitics', '@MSNBC', '@TheTodayShow', '@realDonaldTrump', '@2016_TrumPence']
465	-0.4767	
466	0.5859	
467	0.5859	['@realDonaldTrump', '@laurencristmann', '@C_Lynne_Ryan']
468	-0.7906	['@realDonaldTrump']
469	0.4215	
470	0.0	['@realDonaldTrump', '@EnemyWithinn', '@elsolarverde', '@nytimes']
471	0.0	
472	0.5719	['@VistaJake', '@realDonaldTrump']
473	0.0516	
474	-0.4404	['@bhodisvaha', '@Morning_Joe', '@randyprine']
475	-0.3089	['@shuff1138', '@kupajo322', '@realDonaldTrump', '@EnemyWithinn', '@elsolarverde', '@nytimes', '@HillaryClinton']
476	0.0	['@DamidotValerie', '@Europe1', '@realDonaldTrump']
477	0.0	['@realDonaldTrump']
478	0.0	['@realDonaldTrump', '@hughhewitt']
479	0.0	['@realDonaldTrump']
480	0.0	['@politico', '@realDonaldTrump']
481	0.0	['@realDonaldTrump', '@laurencristmann', '@C_Lynne_Ryan']
482	0.8126	['@realDonaldTrump']
483	0.4019	['@realDonaldTrump']
484	0.2023	['@shuff1138', '@kupajo322', '@realDonaldTrump', '@EnemyWithinn', '@elsolarverde', '@nytimes', '@HillaryClinton']
485	-0.3818	['@realDonaldTrump']
486	0.0	
487	-0.2732	['@realDonaldTrump']
488	-0.5859	
489	0.5994	['@realDonaldTrump']
490	-0.2732	['@realDonaldTrump']
491	0.1027	
492	0.0	
493	0.0	
494	0.0	['@realDonaldTrump', '@HillaryClinton', '@Morning_Joe']
495	-0.2263	['@realDonaldTrump']
496	0.0	['@realDonaldTrump', '@laurencristmann', '@C_Lynne_Ryan']
497	0.0	['@JudiLoera', '@Politisite', '@IvankaTrump', '@EricTrump', '@DonaldJTrumpJr', '@HillaryClinton']
498	0.0	
499	0.0	['@MergatroidFilms', '@realDonaldTrump']
500	0.0	
501	0.0	['@realDonaldTrump', '@EnemyWithinn', '@elsolarverde', '@nytimes']
502	-0.2263	['@realDonaldTrump']
503	0.3612	['@TheBillyWest']
504	0.0	['@cnnbrk', '@MSNBC', '@andersoncooper', '@AC360', '@VanJones68', '@HillaryClinton']
505	0.3182	
506	0.0	
507	0.2732	['@realDonaldTrump']
508	-0.6597	['@realDonaldTrump', '@LouDobbs', '@HillaryClinton', '@JoeNBC']
509	0.4019	['@realDonaldTrump']
510	-0.6908	['@ToddDracula', '@realDonaldTrump']
511	-0.5106	
512	-0.3217	['@HKECIA', '@cull0519', '@realDonaldTrump']
513	-0.8591	['@IngrahamAngle', '@realDonaldTrump']
514	0.0	['@realDonaldTrump']
515	0.4404	['@realDonaldTrump']
516	0.0	
517	0.0	['@realDonaldTrump', '@laurencristmann', '@C_Lynne_Ryan0']
518	-0.5574	['@MKANTONIO1', '@realDonaldTrump']
519	0.0	
520	0.7906	['@gc4ginger', '@Joenbc']
521	-0.2263	['@realDonaldTrump']
522	0.3182	
523	-0.0258	['@realDonaldTrump']
524	0.0	['@realDonaldTrump', '@seanhannity', '@JudgeJeanine', '@IvankaTrump', '@EricTrump', '@DonaldJTrumpJr', '@newtgingrich', '@PaulManafort']
525	0.1098	['@realDonaldTrump']
526	0.0	
527	-0.4404	['@magnifier661', '@SallyAu81783497', '@HillaryClinton']
528	-0.6597	['@gntlman', '@Nvr4Get91101', '@HillaryClinton', '@cnnbrk', '@Reuters']
529	0.0	['@realDonaldTrump', '@laurencristmann']
530	-0.3182	['@realDonaldTrump']
531	0.2023	['@IngrahamAngle', '@realDonaldTrump', '@BrianRodNYC', '@benshapiro']
532	0.0	['@politico']
533	0.0	
534	0.327	['@debsellsslc']
535	-0.802	
536	0.2732	['@Bob_Annon', '@realDonaldTrump']
537	-0.1531	
538	-0.5106	['@ZZLaowai', '@realDonaldTrump']
539	0.1531	['@realDonaldTrump']
540	-0.4215	['@SenateDems', '@HillaryClinton', '@moveon']
541	-0.2263	['@realDonaldTrump']
542	0.3818	['@RealClearNews']
543	-0.1779	['@FoxNews', '@foxnewspolitics', '@TRUMP', '@HillaryClinton']
544	-0.5859	['@realDonaldTrump', '@seanhannity', '@DiamondandSilk']
545	0.0772	['@realDonaldTrump']
546	0.0	['@HillaryClinton']
547	0.0	['@cnnbrk', '@MSNBC', '@andersoncooper', '@AC360', '@VanJones68']
548	0.0	
549	0.0	['@realDonaldTrump']
550	-0.25	['@realDonaldTrump']
551	0.0	
552	0.0	['@Morning_Joe']
553	-0.872	['@HillaryClinton']
554	0.0	['@realDonaldTrump']
555	0.4588	['@USArmy', '@realDonaldTrump', '@IvankaTrump']
556	0.3818	['@martyalpert']
557	0.0	['@realDonaldTrump']
558	0.0	['@MergatroidFilms', '@realDonaldTrump']
